STATISTIQUES DISCORD (depuis 2025-01-01 jusqu'à 2025-12-28)
Total messages analysés: 32543

MESSAGES PAR JOUR
2025-10-13 : 23
2025-10-14 : 1
2025-10-15 : 6
2025-10-16 : 78
2025-10-17 : 30
2025-10-18 : 34
2025-10-19 : 27
2025-10-20 : 211
2025-10-21 : 35
2025-10-22 : 220
2025-10-23 : 310
2025-10-24 : 58
2025-10-25 : 1243
2025-10-26 : 449
2025-10-27 : 221
2025-10-28 : 195
2025-10-29 : 92
2025-10-30 : 69
2025-10-31 : 11
2025-11-01 : 20
2025-11-02 : 116
2025-11-03 : 37
2025-11-04 : 122
2025-11-05 : 31
2025-11-06 : 129
2025-11-07 : 18
2025-11-08 : 8
2025-11-09 : 14
2025-11-10 : 30
2025-11-11 : 93
2025-11-12 : 37
2025-11-13 : 5
2025-11-14 : 51
2025-11-15 : 139
2025-11-16 : 65
2025-11-17 : 27
2025-11-18 : 23
2025-11-19 : 35
2025-11-20 : 77
2025-11-21 : 66
2025-11-22 : 253
2025-11-23 : 40
2025-11-24 : 53
2025-11-25 : 8
2025-11-26 : 14
2025-11-27 : 2
2025-11-28 : 352
2025-11-29 : 76
2025-11-30 : 345
2025-12-01 : 64
2025-12-02 : 26
2025-12-03 : 621
2025-12-04 : 76
2025-12-05 : 91
2025-12-06 : 137
2025-12-07 : 92
2025-12-08 : 111
2025-12-09 : 16
2025-12-10 : 28
2025-12-11 : 9
2025-12-12 : 75
2025-12-13 : 36
2025-12-14 : 65
2025-12-15 : 96
2025-12-16 : 94
2025-12-17 : 141
2025-12-18 : 30
2025-12-19 : 35
2025-12-20 : 18
2025-12-21 : 11
2025-12-23 : 240
2025-12-24 : 88
2025-12-25 : 32
2025-12-26 : 113
2025-12-27 : 54
2025-12-28 : 60

MESSAGES PAR MOIS
2025-01 : 1965
2025-02 : 1451
2025-03 : 1193
2025-04 : 5102
2025-05 : 4582
2025-06 : 1806
2025-07 : 659
2025-08 : 3891
2025-09 : 2702
